Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,7,14,17,15,26,-99.989997,-99.989997,-99.989997,4,0,42,0.00
2020,7,14,17,16,26,-99.989997,-99.989997,-99.989997,4,0,42,44.78
2020,7,14,17,17,28,-99.989997,-99.989997,-99.989997,4,0,42,55.12
2020,7,14,17,18,28,-99.989997,-99.989997,-99.989997,4,0,42,68.50
2020,7,14,17,19,28,-99.989997,-99.989997,-99.989997,4,0,42,69.96
2020,7,14,17,20,28,-99.989997,-99.989997,-99.989997,4,0,42,70.93
2020,7,14,17,21,29,-99.989997,-99.989997,-99.989997,4,0,42,78.67
2020,7,14,17,57,16,-99.989997,-99.989997,-99.989997,4,0,42,0.00
2020,7,14,17,58,17,-99.989997,-99.989997,-99.989997,4,0,42,124.53
2020,7,14,17,59,17,-99.989997,-99.989997,-99.989997,4,0,42,117.16
2020,7,14,18,0,18,-99.989997,-99.989997,-99.989997,4,0,42,109.56
2020,7,14,18,1,19,-99.989997,-99.989997,-99.989997,4,0,42,108.13
2020,7,14,18,2,21,-99.989997,-99.989997,-99.989997,4,0,42,104.57
2020,7,14,18,3,21,-99.989997,-99.989997,-99.989997,4,0,42,83.91
2020,7,14,18,4,22,-99.989997,-99.989997,-99.989997,4,0,42,81.30
2020,7,14,18,5,22,-99.989997,-99.989997,-99.989997,4,0,42,79.47
2020,7,14,18,6,22,-99.989997,-99.989997,-99.989997,4,0,42,68.79
2020,7,14,18,7,22,-99.989997,-99.989997,-99.989997,4,0,42,60.71
2020,7,14,18,8,22,-99.989997,-99.989997,-99.989997,4,0,42,57.85
2020,7,14,18,9,22,-99.989997,-99.989997,-99.989997,4,0,42,49.78
2020,7,14,18,10,22,-99.989997,-99.989997,-99.989997,4,0,42,41.70
2020,7,14,18,11,22,-99.989997,-99.989997,-99.989997,4,0,42,44.31
2020,7,14,18,12,22,-99.989997,-99.989997,-99.989997,4,0,42,46.92
2020,7,14,18,13,22,-99.989997,-99.989997,-99.989997,4,0,42,42.49
2020,7,14,18,14,22,-99.989997,-99.989997,-99.989997,4,0,42,45.09
2020,7,14,18,15,21,-99.989997,-99.989997,-99.989997,4,0,42,49.53
2020,7,14,18,16,22,-99.989997,-99.989997,-99.989997,4,0,42,49.53
2020,7,14,18,17,22,-99.989997,-99.989997,-99.989997,4,0,42,57.60
2020,7,14,18,18,22,-99.989997,-99.989997,-99.989997,4,0,42,68.29
2020,7,14,18,19,22,-99.989997,-99.989997,-99.989997,4,0,42,63.85
2020,7,14,18,20,22,-99.989997,-99.989997,-99.989997,4,0,42,63.85
2020,7,14,18,21,22,-99.989997,-99.989997,-99.989997,4,0,42,67.49
2020,7,14,18,22,22,-99.989997,-99.989997,-99.989997,4,0,42,63.06
2020,7,14,18,23,22,-99.989997,-99.989997,-99.989997,4,0,42,66.70
2020,7,14,18,24,23,-99.989997,-99.989997,-99.989997,4,0,42,82.85
2020,7,14,18,25,24,-99.989997,-99.989997,-99.989997,4,0,42,90.93
2020,7,14,18,26,24,-99.989997,-99.989997,-99.989997,4,0,42,93.54
2020,7,14,18,27,24,-99.989997,-99.989997,-99.989997,4,0,42,93.54
2020,7,14,18,28,24,-99.989997,-99.989997,-99.989997,4,0,42,88.07
2020,7,14,18,29,24,-99.989997,-99.989997,-99.989997,4,0,42,82.60
2020,7,14,18,30,24,-99.989997,-99.989997,-99.989997,4,0,42,78.17
2020,7,14,18,31,24,-99.989997,-99.989997,-99.989997,4,0,42,75.56
2020,7,14,18,32,23,-99.989997,-99.989997,-99.989997,4,0,42,75.56
2020,7,14,18,33,23,-99.989997,-99.989997,-99.989997,4,0,42,83.63
2020,7,14,18,34,23,-99.989997,-99.989997,-99.989997,4,0,42,83.63
2020,7,14,18,35,24,-99.989997,-99.989997,-99.989997,4,0,42,83.63
