Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,7,14,17,15,31,-99.989997,-99.989997,-99.989997,4,0,45,0.00
2020,7,14,17,16,31,-99.989997,-99.989997,-99.989997,4,0,45,46.27
2020,7,14,17,17,33,-99.989997,-99.989997,-99.989997,4,0,45,59.05
2020,7,14,17,18,33,-99.989997,-99.989997,-99.989997,4,0,45,69.31
2020,7,14,17,19,33,-99.989997,-99.989997,-99.989997,4,0,45,50.11
2020,7,14,17,20,33,-99.989997,-99.989997,-99.989997,4,0,45,50.25
2020,7,14,17,21,34,-99.989997,-99.989997,-99.989997,4,0,45,54.82
2020,7,14,17,57,21,-99.989997,-99.989997,-99.989997,4,0,45,0.00
2020,7,14,17,58,22,-99.989997,-99.989997,-99.989997,4,0,45,70.85
2020,7,14,17,59,22,-99.989997,-99.989997,-99.989997,4,0,45,78.89
2020,7,14,18,0,23,-99.989997,-99.989997,-99.989997,4,0,45,74.17
2020,7,14,18,1,24,-99.989997,-99.989997,-99.989997,4,0,45,67.72
2020,7,14,18,2,26,-99.989997,-99.989997,-99.989997,4,0,45,67.73
2020,7,14,18,3,26,-99.989997,-99.989997,-99.989997,4,0,45,73.61
2020,7,14,18,4,27,-99.989997,-99.989997,-99.989997,4,0,45,64.77
2020,7,14,18,5,27,-99.989997,-99.989997,-99.989997,4,0,45,66.08
2020,7,14,18,6,27,-99.989997,-99.989997,-99.989997,4,0,45,68.23
2020,7,14,18,7,27,-99.989997,-99.989997,-99.989997,4,0,45,66.08
2020,7,14,18,8,27,-99.989997,-99.989997,-99.989997,4,0,45,49.04
2020,7,14,18,9,27,-99.989997,-99.989997,-99.989997,4,0,45,47.53
2020,7,14,18,10,27,-99.989997,-99.989997,-99.989997,4,0,45,48.38
2020,7,14,18,11,27,-99.989997,-99.989997,-99.989997,4,0,45,51.40
2020,7,14,18,12,27,-99.989997,-99.989997,-99.989997,4,0,45,54.41
2020,7,14,18,13,27,-99.989997,-99.989997,-99.989997,4,0,45,59.58
2020,7,14,18,14,27,-99.989997,-99.989997,-99.989997,4,0,45,59.58
2020,7,14,18,15,26,-99.989997,-99.989997,-99.989997,4,0,45,52.90
