Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,Device,DeviceSt, SensorID,Value
2020,7,14,17,15,11,-99.989997,-99.989997,-99.989997,4,0,41,0.00
2020,7,14,17,16,11,-99.989997,-99.989997,-99.989997,4,0,41,-13.75
2020,7,14,17,17,13,-99.989997,-99.989997,-99.989997,4,0,41,-11.23
2020,7,14,17,18,13,-99.989997,-99.989997,-99.989997,4,0,41,-9.97
2020,7,14,17,19,13,-99.989997,-99.989997,-99.989997,4,0,41,-0.15
2020,7,14,17,20,13,-99.989997,-99.989997,-99.989997,4,0,41,-1.15
2020,7,14,17,21,14,-99.989997,-99.989997,-99.989997,4,0,41,1.37
2020,7,14,17,57,1,-99.989997,-99.989997,-99.989997,4,0,41,-81.78
2020,7,14,17,58,2,-99.989997,-99.989997,-99.989997,4,0,41,-51.54
2020,7,14,17,59,2,-99.989997,-99.989997,-99.989997,4,0,41,-26.35
2020,7,14,18,0,3,-99.989997,-99.989997,-99.989997,4,0,41,-17.53
2020,7,14,18,1,4,-99.989997,-99.989997,-99.989997,4,0,41,-12.24
2020,7,14,18,2,5,-99.989997,-99.989997,-99.989997,4,0,41,-8.71
2020,7,14,18,3,6,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,4,7,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,5,7,-99.989997,-99.989997,-99.989997,4,0,41,1.37
2020,7,14,18,6,7,-99.989997,-99.989997,-99.989997,4,0,41,1.37
2020,7,14,18,7,7,-99.989997,-99.989997,-99.989997,4,0,41,1.37
2020,7,14,18,8,7,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,9,7,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,10,7,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,11,7,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,12,7,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,13,7,-99.989997,-99.989997,-99.989997,4,0,41,1.37
2020,7,14,18,14,7,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,15,6,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,16,7,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,17,7,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,18,7,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,19,7,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,20,7,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,21,7,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,22,7,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,23,7,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,24,8,-99.989997,-99.989997,-99.989997,4,0,41,8.93
2020,7,14,18,25,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,26,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,27,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,28,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,29,9,-99.989997,-99.989997,-99.989997,4,0,41,3.89
2020,7,14,18,30,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,31,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,32,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,33,9,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,34,8,-99.989997,-99.989997,-99.989997,4,0,41,6.41
2020,7,14,18,35,8,-99.989997,-99.989997,-99.989997,4,0,41,6.41
